"migratieachtergrond","perioden","totaal"
"Micronesië";"2002";3
"Micronesië";"2003";3
"Micronesië";"2004";3
"Micronesië";"2005";3
"Micronesië";"2006";3
"Micronesië";"2007";0
"Micronesië";"2008";0
"Micronesië";"2009";0
"Micronesië";"2010";0
"Micronesië";"2011";0
"Micronesië";"2012";0
"Micronesië";"2013";0
"Micronesië";"2014";0
"Micronesië";"2015";0
"Micronesië";"2016";1
"Micronesië";"2017";3
"Nauru";"1997";0
"Nauru";"1998";0
"Nauru";"1999";0
"Nauru";"2000";0
"Nauru";"2001";0
"Nauru";"2002";0
"Nauru";"2003";0
"Nauru";"2004";1
"Nauru";"2005";1
"Nauru";"2006";1
"Nauru";"2007";1
"Nauru";"2008";2
"Nauru";"2009";2
"Nauru";"2010";3
"Nauru";"2011";3
"Nauru";"2012";3
"Nauru";"2013";4
"Nauru";"2014";4
"Nauru";"2015";4
"Nauru";"2016";4
"Nauru";"2017";1
"Nieuw-Caledonië";"1997";12
"Nieuw-Caledonië";"1998";13
"Nieuw-Caledonië";"1999";15
"Nieuw-Caledonië";"2000";15
"Nieuw-Caledonië";"2001";15
"Nieuw-Caledonië";"2002";18
"Nieuw-Caledonië";"2003";19
"Nieuw-Caledonië";"2004";17
"Nieuw-Caledonië";"2005";18
"Nieuw-Caledonië";"2006";21
"Nieuw-Caledonië";"2007";20
"Nieuw-Caledonië";"2008";23
"Nieuw-Caledonië";"2009";20
"Nieuw-Caledonië";"2010";20
"Nieuw-Caledonië";"2011";21
"Nieuw-Caledonië";"2012";22
"Nieuw-Caledonië";"2013";21
"Nieuw-Caledonië";"2014";17
"Nieuw-Caledonië";"2015";17
"Nieuw-Caledonië";"2016";20
"Nieuw-Caledonië";"2017";23
"Nieuw-Zeeland";"1997";3433
"Nieuw-Zeeland";"1998";3609
"Nieuw-Zeeland";"1999";3748
"Nieuw-Zeeland";"2000";3989
"Nieuw-Zeeland";"2001";4260
"Nieuw-Zeeland";"2002";4557
"Nieuw-Zeeland";"2003";4649
"Nieuw-Zeeland";"2004";4684
"Nieuw-Zeeland";"2005";4746
