"migratieachtergrond","perioden","totaal"
"India";"2005";13807"
"India";"2006";14682"
"India";"2007";16027"
"India";"2008";17357"
"India";"2009";19297"
"India";"2010";20490"
"India";"2011";21729"
"India";"2012";23420"
"India";"2013";24983"
"India";"2014";26932"
"India";"2015";29501"
"India";"2016";32682"
"India";"2017";36818"
"Indonesië";"1997";"409609"
"Indonesië";"1998";"407885"
"Indonesië";"1999";"406947"
"Indonesië";"2000";"405155"
"Indonesië";"2001";"403894"
"Indonesië";"2002";"402663"
"Indonesië";"2003";"400622"
"Indonesië";"2004";"398502"
"Indonesië";"2005";"396080"
"Indonesië";"2006";"393057"
"Indonesië";"2007";"389940"
"Indonesië";"2008";"387124"
"Indonesië";"2009";"384497"
"Indonesië";"2010";"382411"
"Indonesië";"2011";"380047"
"Indonesië";"2012";"377618"
"Indonesië";"2013";"374847"
"Indonesië";"2014";"372233"
"Indonesië";"2015";"369661"
"Indonesië";"2016";"366849"
"Indonesië";"2017";"364328"
"Irak";"1997";15863"
"Irak";"1998";22295"
"Irak";"1999";30002"
"Irak";"2000";33449"
"Irak";"2001";38191"
"Irak";"2002";41323"
"Irak";"2003";41959"
"Irak";"2004";42931"
"Irak";"2005";43708"
"Irak";"2006";43757"
"Irak";"2007";43891"
"Irak";"2008";45459"
"Irak";"2009";49202"
"Irak";"2010";52102"
"Irak";"2011";52858"
"Irak";"2012";53336"
"Irak";"2013";53731"
"Irak";"2014";54159"
"Irak";"2015";55236"
"Irak";"2016";56269"
"Irak";"2017";59497"
"Iran";"1997";19163"
"Iran";"1998";20685"
"Iran";"1999";21790"
"Iran";"2000";22893"
"Iran";"2001";24642"
"Iran";"2002";26789"
"Iran";"2003";28043"
"Iran";"2004";28438"
"Iran";"2005";28691"
"Iran";"2006";28722"
"Iran";"2007";28969"
"Iran";"2008";29771"
"Iran";"2009";30613"
"Iran";"2010";31653"
"Iran";"2011";32777"
"Iran";"2012";34226"
"Iran";"2013";35395"
"Iran";"2014";36561"
"Iran";"2015";37479"
"Iran";"2016";38458"
"Iran";"2017";40893"
